"name";"id_in_source"
"Campanula elatinoides Moretti";"75400"
"Campanula excisa Murith";"75500"
"Campanula garganica Ten.";"75650"
"Campanula glomerata L.";"75700"
"Campanula latifolia L.";"76000"
"Campanula medium L.";"76100"
"Campanula patula L.";"76200"
"Campanula persicifolia L.";"76500"
"Cardamine parviflora L.";"79500"
"Campanula portenschlagiana Schult.";"76530"
"Cardamine pentaphyllos (L.) Crantz";"79600"
"Campanula poscharskyana Degen";"76560"
"Campanula raineri Perp.";"76600"
"Campanula ramosissima Sm.";"76700"
"Campanula rapunculoides L.";"76800"
"Campanula rapunculus L.";"76900"
"Campanula rhomboidalis L.";"77000"
"Campanula rotundifolia L.";"77100"
"Campanula scheuchzeri Vill.";"77200"
"Campanula sibirica L.";"77300"
"Campanula spicata L.";"77400"
"Campanula thyrsoides L.";"77500"
"Campanula trachelium L.";"77600"
"Cannabis sativa L.";"77700"
"Capparis spinosa L.";"77800"
"Capsella bursa-pastoris (L.) Medik.";"77900"
"Cardamine plumieri Vill.";"79700"
"Capsella grandiflora (Fauché & Chaub.) Boiss.";"77950"
"Capsella rubella Reut.";"78000"
"Capsicum annuum L.";"78100"
"Cardamine ×insueta Urbanska-Worytkiewicz";"80650"
"Cardamine alpina Willd.";"78200"
"Cardamine amara L.";"78300"
"Cardamine asarifolia L.";"78400"
"Cardamine bulbifera (L.) Crantz";"78500"
"Cardamine corymbosa Hook. f.";"78530"
"Cardamine enneaphyllos (L.) Crantz";"78600"
"Cardamine flexuosa aggr.";"78700"
"Cardamine heptaphylla (Vill.) O. E. Schulz";"78800"
"Cardamine hirsuta L.";"78900"
"Cardamine impatiens L.";"79000"
"Cardamine kitaibelii Bech.";"79100"
"Cardamine pratensis aggr.";"79900"
"Cardamine resedifolia L.";"80300"
"Cardamine trifolia L.";"80500"
"Cardaminopsis arenosa (L.) Hayek";"80695"
"Cardaminopsis halleri (L.) Hayek";"81000"
"Cardaria draba (L.) Desv.";"81100"
"Carduus acanthoides L.";"81200"
"Carduus crispus L.";"81500"
"Carduus defloratus L.";"81595"
"Carduus nutans L.";"82100"
"Carduus personata (L.) Jacq.";"82400"
"Carduus pycnocephalus L.";"82600"
"Carduus tenuiflorus Curtis";"82700"
"Carex acuta aggr.";"82900"
"Carex acutiformis Ehrh.";"83000"
"Carex alba Scop.";"83100"
"Carex appropinquata Schumach.";"83200"
"Carex atrata aggr.";"83405"
"Carex atrofusca Schkuhr";"83600"
"Carex austroalpina Bech.";"83700"
"Carex baldensis L.";"83800"
"Carex bicolor All.";"83900"
"Carex bohemica Schreb.";"84000"
"Carex brachystachys Schrank";"84100"
"Carex brevicollis DC.";"84200"
"Carex brizoides L.";"84300"
"Carex brunnescens (Pers.) Poir.";"84400"
"Carex buxbaumii Wahlenb.";"84500"
"Carex canescens L.";"84600"
"Carex capillaris L.";"84700"
"Carex caryophyllea Latourr.";"84900"
"Carex cespitosa L.";"85000"
"Carex chordorrhiza L. f.";"85100"
"Carex curvula All.";"85395"
"Carex davalliana Sm.";"85700"
"Carex depauperata With.";"85900"
"Carex diandra Schrank";"86000"
"Carex digitata L.";"86100"
"Carex dioica L.";"86200"
"Carex distans L.";"86300"
"Carex disticha Huds.";"86400"
"Carex divisa Huds.";"86450"
"Carex echinata Murray";"86700"
"Carex elata All.";"86800"
"Carex elongata L.";"87000"
"Carex ericetorum Pollich";"87100"
"Carex ferruginea Scop.";"87200"
"Carex fimbriata Schkuhr";"87300"
"Carex firma Host";"87400"
"Carex flacca Schreb.";"87500"
"Carex flava aggr.";"87605"
"Carex foetida All.";"87700"
"Carex frigida All.";"87800"
"Carex fritschii Waisb.";"87900"
"Carex fuliginosa Schkuhr";"88000"
"Carex grayi Carey";"88250"
"Carex halleriana Asso";"88300"
"Carex hartmanii Cajander";"88400"
"Carex heleonastes L. f.";"88500"
"Carex hirta L.";"88600"
"Carex hostiana DC.";"88700"
"Carex humilis Leyss.";"88800"
"Carex juncella (Fr.) Th. Fr.";"88900"
"Carex lachenalii Schkuhr";"89100"
"Carex laevigata Sm.";"89150"
"Carex lasiocarpa Ehrh.";"89200"
"Carex leporina L.";"89500"
"Carex limosa L.";"89600"
"Carex liparocarpos Gaudin";"89700"
"Carex maritima Gunnerus";"89900"
"Carex michelii Host";"90100"
"Carex microglochin Wahlenb.";"90200"
"Carex montana L.";"90300"
"Carex mucronata All.";"90400"
"Carex muricata aggr.";"90500"
"Carex nigra (L.) Reichard";"90700"
"Carex norvegica Retz.";"90900"
"Carex ornithopoda Willd.";"91200"
"Carex ornithopodioides Hausm.";"91300"
"Carex otrubae Podp.";"91400"
"Carex pallescens L.";"91600"
"Carex panicea L.";"91700"
"Carex paniculata L.";"91800"
"Carex pauciflora Lightf.";"92100"
"Carex paupercula Michx.";"92200"
"Carex pendula Huds.";"92300"
"Carex pilosa Scop.";"92400"
"Carex pilulifera L.";"92500"
"Carex praecox Schreb.";"92600"
"Carex pseudocyperus L.";"92900"
"Carex pulicaris L.";"93100"
"Carex punctata Gaudin";"93200"
"Carex remota L.";"93300"
"Carex repens Bellardi";"93400"
"Carex riparia Curtis";"93500"
"Carex rostrata Stokes";"93700"
"Carex rupestris All.";"93800"
"Carex sempervirens Vill.";"93900"
"Carex stenophylla Wahlenb.";"94400"
"Carex strigosa Huds.";"94500"
"Carex supina Wahlenb.";"94600"
"Carex sylvatica Huds.";"94700"
"Carex tomentosa L.";"94800"
"Carex umbrosa Host";"95000"
"Carex vaginata Tausch";"95100"
"Carex vesicaria L.";"95300"
"Carex vulpina L.";"95500"
"Carex vulpinoidea Michx.";"95600"
"Carlina acanthifolia All.";"95700"
"Carlina acaulis L.";"95800"
"Carlina vulgaris aggr.";"96600"
"Carpesium cernuum L.";"96800"
"Carpinus betulus L.";"96900"
"Carthamus lanatus L.";"97000"
"Carum carvi L.";"97100"
