"name";"id_in_source"
"Alchemilla murisserica";"1001289"
"Alchemilla niphogeton";"1001326"
"Alchemilla nitida Buser";"17500"
"Alchemilla norica";"1001327"
"Alchemilla nydeggeriana";"1001328"
"Alchemilla obscura Buser";"17600"
"Alchemilla obtusa Buser";"17700"
"Alchemilla opaca Buser";"17800"
"Alchemilla othmarii Buser";"17900"
"Alchemilla paicheana";"1001329"
"Alchemilla pallens Buser";"18000"
"Alchemilla pentaphyllea L. (Schneetälchen-Frauenmantel)";"18100"
"Alchemilla pentaphylloides";"1001290"
"Alchemilla petiolulans Buser";"18200"
"Alchemilla petraea";"1001291"
"Alchemilla philonotis";"1001330"
"Alchemilla platygyria";"1001331"
"Alchemilla plicata Buser";"18300"
"Alchemilla plicatula aggr. (Hoppes Frauenmantel, Kalk-Silbermantel)";"18500"
"Alchemilla plicatula Gand.";"18400"
"Alchemilla propinqua";"1001332"
"Alchemilla pyrenaica Dufour";"18600"
"Alchemilla racemulosa Buser";"18700"
"Alchemilla radiisecta";"1001333"
"Alchemilla reniformis Buser";"18800"
"Alchemilla rhododendrophila Buser";"18900"
"Alchemilla rubristipula";"1001334"
"Alchemilla sabauda";"1001292"
"Alchemilla saliceti";"1001335"
"Alchemilla saxatilis Buser";"19000"
"Alchemilla saxetana Buser";"19100"
"Alchemilla schmidelyana Buser";"19200"
"Alchemilla scintillans Buser";"19300"
"Alchemilla semihirta";"1001336"
"Alchemilla semisecta Buser";"19400"
"Alchemilla sericoneura Buser";"19500"
"Alchemilla sinuata Buser";"19600"
"Alchemilla sp.";"1003962"
"Alchemilla speciosa Buser (Ansehnlicher Frauenmantel)";"19700"
"Alchemilla splendens aggr. (Glänzender Frauenmantel)";"19900"
"Alchemilla splendens H. Christ";"19800"
"Alchemilla squarrosula";"1001337"
"Alchemilla stiriaca";"1001338"
"Alchemilla straminea Buser";"20000"
"Alchemilla strigosula Buser";"20100"
"Alchemilla subcrenata Buser";"20200"
"Alchemilla subglobosa";"1001339"
"Alchemilla subsericea aggr. (Schwachseidiger Frauenmantel)";"20400"
"Alchemilla subsericea Reut.";"20300"
"Alchemilla tenerrima";"1001293"
"Alchemilla tenuis Buser";"20500"
"Alchemilla tirolensis";"1001340"
"Alchemilla transiens";"1001294"
"Alchemilla trullata";"1001295"
"Alchemilla trunciloba Buser";"20600"
"Alchemilla undulata Buser";"20700"
"Alchemilla vaccariana";"1001296"
"Alchemilla vallesiaca Rothm.";"20750"
"Alchemilla velebitica";"1001297"
"Alchemilla venosula Buser";"20800"
"Alchemilla versipila Buser";"20900"
"Alchemilla vetteri Buser";"21000"
"Alchemilla vulgaris aggr.";"1001298"
"Alchemilla vulgaris aggr. sensu Heitz (Gemeiner Frauenmantel)";"21100"
"Alchemilla vulgaris aggr. sensu Welten & Sutter";"21200"
"Alchemilla westermaieri";"1001341"
"Alchemilla xanthochlora aggr. sensu Aeschimann & Burdet";"21500"
"Alchemilla xanthochlora aggr. sensu Landolt";"21400"
"Alchemilla xanthochlora Rothm.";"21300"
"Aldrovanda vesiculosa L. (Aldrovande)";"21600"
"Alisma gramineum Lej. (Grasartiger Froschlöffel)";"21700"
"Alisma lanceolatum With. (Lanzettblättriger Froschlöffel)";"21800"
"Alisma plantago-aquatica aggr.";"1001342"
"Alisma plantago-aquatica L. (Gemeiner Froschlöffel)";"21900"
"Alisma sp.";"1001036"
"Alliaria officinalis M. Bieb.";"22000"
"Alliaria petiolata (M. Bieb.) Cavara & Grande (Knoblauchhederich)";"22100"
"Allium acutiflorum";"1001358"
"Allium ampeloprasum";"1001352"
"Allium angulosum aggr.";"1001343"
"Allium angulosum L. (Kantiger Lauch)";"22200"
"Allium ascalonicum auct.";"22300"
"Allium carinatum L. s.l.";"22350"
"Allium carinatum L. s.str. (Gekielter Lauch)";"22400"
"Allium carinatum L. subsp. pulchellum Bonnier & Layens (Niedlicher Lauch)";"22500"
"Allium cepa L. (Schalotte, Zwiebel)";"22600"
"Allium ericetorum Thore (Gelblicher Lauch)";"22700"
"Allium fistulosum L. (Winterzwiebel)";"22800"
"Allium flavum";"1001345"
"Allium insubricum Boiss. & Reut. (Insubrischer Lauch)";"22900"
"Allium kermesinum";"1001344"
"Allium lineare aggr.";"1001346"
"Allium lineare L. (Steifer Lauch)";"23000"
"Allium lusitanicum Lam. (Berg-Lauch)";"23100"
"Allium montanum F. W. Schmidt";"23200"
"Allium moschatum";"1001347"
"Allium narcissiflorum Vill. (Piemonteser Lauch)";"23300"
"Allium neapolitanum";"1001348"
"Allium nigrum L. (Vielzwiebliger Lauch)";"23400"
"Allium ochroleucum Waldst. & Kit.";"23500"
"Allium oleraceum aggr.";"1001349"
"Allium oleraceum L. (Gemüse-Lauch)";"23600"
"Allium pallens";"1001350"
"Allium paniculatum L. (Rispen-Lauch)";"23700"
"Allium paradoxum (M. Bieb.) G. Don";"23750"
"Allium polyanthum";"1001359"
"Allium porrum aggr.";"1001351"
"Allium porrum L. (Lauch)";"23800"
"Allium pulchellum Don";"23900"
"Allium roseum";"1001354"
"Allium roseum aggr.";"1001353"
"Allium rotundum L. (Kugeliger Lauch)";"24000"
"Allium sativum L. (Knoblauch)";"24100"
"Allium scaberrimum";"1001356"
"Allium schoenoprasum L. (Schnittlauch)";"24200"
"Allium scorodoprasum aggr.";"1001357"
"Allium scorodoprasum L. (Schlangen-Lauch)";"24300"
"Allium senescens L. subsp. montanum (Fr.) Holub";"24400"
"Allium sp.";"1001204"
"Allium sphaerocephalon L. (Kugelköpfiger Lauch)";"24500"
"Allium strictum Schrad.";"24600"
"Allium suaveolens Jacq. (Wohlriechender Lauch)";"24700"
"Allium trifoliatum";"1001355"
"Allium ursinum L. (Bärlauch)";"24800"
"Allium victorialis L. (Allermannsharnisch)";"24900"
"Allium vineale L. (Weinberg-Lauch)";"25000"
"Alnus brembana Rota";"25100"
"Alnus cordata";"1001360"
"Alnus glutinosa (L.) Gaertn. (Schwarz-Erle)";"25200"
"Alnus incana (L.) Moench (Grau-Erle, Weiss-Erle)";"25300"
"Alnus viridis (Chaix) DC. (Alpen-Erle, Grün-Erle)";"25400"
"Alnus viridis aggr.";"1001361"
"Alopecurus";"1001037"
"Alopecurus aequalis Sobol. (Rotgelber Fuchsschwanz)";"25500"
"Alopecurus alpinus Vill. (Alpen-Fuchsschwanz, Gerards Fuchsschwanz)";"25600"
"Alopecurus bulbosus";"1001362"
"Alopecurus geniculatus aggr.";"1001363"
"Alopecurus geniculatus L. (Geknieter Fuchsschwanz)";"25700"
"Alopecurus gerardii Vill.";"25800"
"Alopecurus myosuroides Huds. (Acker-Fuchsschwanz)";"25900"
"Alopecurus pratensis L. (Wiesen-Fuchsschwanz)";"26000"
"Alopecurus rendlei Eig (Weitscheidiger Fuchsschwanz)";"26100"
"Alopecurus utriculatus auct.";"26200"
"Alternanthera tenella";"1001364"
"Althaea cannabina";"1001365"
"Althaea hirsuta L. (Rauhhaariger Eibisch)";"26300"
"Althaea officinalis L. (Gebräuchlicher Eibisch)";"26400"
"Althaea rosea (L.) Cav.";"26500"
"Alyssoides sinuata";"1001366"
"Alyssoides utriculata (L.) Moench (Blasenschötchen)";"26600"
"Alyssum alpestre aggr.";"1001367"
"Alyssum alpestre L. (Alpen-Steinkraut)";"26700"
"Alyssum alyssoides (L.) L. (Gemeines Steinkraut)";"26800"
"Alyssum argenteum aggr.";"1001369"
"Alyssum argenteum All. (Silbergraues Steinkraut)";"26900"
"Alyssum calycinum L.";"27000"
"Alyssum campestre auct.";"27100"
"Alyssum cuneifolium";"1001373"
"Alyssum gmelinii";"1001374"
"Alyssum ligusticum";"1001371"
"Alyssum montanum aggr.";"1001372"
"Alyssum montanum L. (Berg-Steinkraut)";"27200"
"Alyssum murale";"1001370"
"Alyssum ovirense";"1001375"
"Alyssum repens";"1001377"
"Alyssum saxatile L.";"27300"
"Alyssum serpyllifolium";"1001368"
"Alyssum simplex Rudolphi (Feld-Steinkraut)";"27400"
"Alyssum wulfenianum";"1001376"
"Amaranthus albus L. (Weisser Amarant)";"27500"
"Amaranthus blitoides";"1001378"
"Amaranthus blitum aggr.";"1001379"
"Amaranthus blitum L. (Aufsteigender Amarant)";"27600"
"Amaranthus bouchonii Thell. (Bouchons Fuchsschwanz)";"27700"
"Amaranthus caudatus L. (Fuchsschwanz, Garten-Amarant)";"27800"
"Amaranthus crispus";"1001381"
"Amaranthus cruentus aggr.";"28050"
"Amaranthus cruentus L. (Ausgebreiteter Fuchsschwanz)";"27900"
"Amaranthus cruentus sensu Aeschimann & Burdet";"28000"
"Amaranthus deflexus L. (Niederliegender Amarant)";"28100"
"Amaranthus emarginatus";"1001380"
"Amaranthus graecizans L. (Wilder Amarant)";"28200"
"Amaranthus hybridus aggr. auct. helv.";"28400"
"Amaranthus hybridus aggr. sensu Aeschimann & Heitz (2005)";"28450"
"Amaranthus hybridus L.";"28300"
"Amaranthus hypochondriacus L. (Grünähriger Fuchsschwanz)";"28500"
"Amaranthus lividus auct. helv.";"28600"
"Amaranthus lividus L. subsp. ascendens (Loisel.) Thell.";"28700"
"Amaranthus palmeri";"1001382"
"Amaranthus patulus";"1003859"
"Amaranthus patulus Bertol.";"28800"
"Amaranthus powellii";"1003860"
"Amaranthus retroflexus aggr.";"1001383"
"Amaranthus retroflexus L. (Rauhhaariger Amarant)";"28900"
"Amaranthus sp.";"1003961"
"Amaranthus spinosus";"1001384"
"Amaranthus standleyanus";"1001385"
"Amaranthus viridis";"1001386"
"Ambrosia artemisiifolia L. (Aufrechte Ambrosie)";"29000"
"Ambrosia elatior L.";"29100"
"Ambrosia psilostachya DC. (Ausdauernde Ambrosie)";"29200"
"Ambrosia trifida";"1001387"
"Amelanchier lamarckii";"1001388"
"Amelanchier ovalis";"1003861"
"Amelanchier ovalis aggr.";"1001389"
"Amelanchier ovalis Medik. (Felsenmispel)";"29300"
"Amelanchier spicata";"1001390"
"Ammannia auriculata";"1001392"
"Ammannia coccinea";"1001393"
"Ammannia coccinea aggr.";"1001391"
"Ammannia verticillata";"1001394"
"Ammi majus L. (Knorpelmöhre)";"29400"
"Amorpha fruticosa L. (Bastardindigo)";"29500"
"Anacamptis pyramidalis (L.) Rich. (Spitzorchis)";"29600"
"Anacamptis pyramidalis (L.) Rich. subsp. tanayensis Chenevard";"29650"
"Anagallis arvensis aggr.";"1001395"
"Anagallis arvensis L. (Acker-Gauchheil)";"29700"
"Anagallis caerulea auct.";"29800"
"Anagallis foemina Mill. (Blauer Gauchheil)";"29900"
"Anagallis minima (L.) E. H. L. Krause (Kleinling)";"30000"
"Anagallis tenella (L.) L. (Zarter Gauchheil)";"30100"
"Anaphalis margaritacea";"1001396"
"Anarrhinum bellidifolium (L.) Willd. (Gänseblümchenblättriger Lochschlund)";"30200"
"Anchusa arvensis (L.) M. Bieb. (Krummhals)";"30300"
"Anchusa azurea auct.";"30400"
"Anchusa hybrida Ten. (Welligblättrige Ochsenzunge)";"30500"
"Anchusa italica Retz. (Italienische Ochsenzunge)";"30600"
"Anchusa ochroleuca M. Bieb. (Fahlgelbe Ochsenzunge)";"30700"
"Anchusa officinalis L. (Gemeine Ochsenzunge)";"30800"
"Anchusa undulata auct. helv.";"30900"
"Andromeda polifolia L. (Rosmarinheide)";"31000"
"Andropogon distachyos";"1001397"
"Androsace adfinis Biroli subsp. brigantiaca (Jord. & Fourr.) Kress";"31100"
